detailed household summary in household,education,class of worker,citizenship,detailed household and family status,tax filer status,gender,Age,full or part time employment status,hispanic origin,marital status,race,industry code,occupation code,num persons worked for employer,weeks worked in year
3,6,1,4,12,2,1,5,1,0,0,4,50,34,6,52
3,7,1,4,14,5,0,2,1,0,0,4,43,10,5,52
6,8,0,4,25,2,0,8,0,6,0,4,44,32,1,52
3,3,5,4,12,5,1,6,1,0,0,4,42,30,6,52
3,3,0,4,14,5,1,0,0,0,0,4,13,36,4,52
6,4,0,4,25,2,1,7,1,0,0,4,43,9,4,52
4,10,0,4,23,5,1,3,0,0,0,2,33,38,1,52
3,1,3,4,12,2,1,5,0,0,0,4,2,43,1,52
3,7,1,4,12,2,0,8,0,0,0,4,43,10,6,52
0,3,0,4,2,5,1,5,0,0,0,4,29,26,6,52
0,1,0,4,2,4,1,1,0,0,0,4,34,34,1,12
6,3,0,1,25,2,0,8,0,0,0,4,36,27,2,49
6,3,1,4,25,2,0,7,0,0,0,4,43,23,4,44
6,7,0,4,25,2,0,5,1,0,0,4,33,22,6,52
5,3,0,0,16,5,0,7,0,1,0,4,33,19,6,52
0,3,0,0,2,5,1,2,0,1,0,4,39,36,3,52
6,11,1,4,25,2,0,4,0,0,0,4,43,23,1,52
3,3,0,4,12,0,0,2,0,0,0,2,21,36,6,42
3,7,0,4,12,2,1,4,0,0,0,4,45,4,6,52
3,3,0,4,12,0,0,2,6,6,0,3,16,26,4,35
3,7,0,4,14,5,0,3,1,0,0,4,45,3,2,52
6,7,3,4,25,2,0,5,1,0,0,4,9,2,1,52
6,3,0,4,25,2,0,6,0,0,0,4,41,30,5,40
3,4,0,4,14,5,1,3,1,0,0,4,43,9,6,44
3,1,0,4,12,0,1,2,0,0,0,4,13,26,6,52
3,7,0,4,12,2,1,2,0,0,0,4,31,6,3,52
3,11,1,4,12,0,1,9,0,0,0,4,47,8,6,52
3,3,1,4,14,5,0,3,0,0,0,4,43,38,6,48
5,3,3,4,16,5,1,9,1,0,0,4,4,34,1,52
3,3,0,4,12,2,1,3,1,0,0,4,4,3,1,52
