Age,class of worker,industry code,occupation code,education,marital status,race,hispanic origin,gender,full or part time employment status,tax filer status,detailed household and family status,detailed household summary in household,num persons worked for employer,citizenship,weeks worked in year
40, Local government,50,34, Associates degree-academic program, Married-civilian spouse present, White, All other, Male, Full-time schedules, Joint both under 65, Householder, Householder,6, Native- Born in the United States,52
28, Local government,43,10, Bachelors degree(BA AB BS), Never married, White, All other, Female, Full-time schedules, Single, Nonfamily householder, Householder,5, Native- Born in the United States,52
55, Private,44,32, 7th and 8th grade, Married-civilian spouse present, White, Mexican-American, Female, Children or Armed Forces, Joint both under 65, Spouse of householder, Spouse of householder,1, Native- Born in the United States,52
47, State government,42,30, High school graduate, Divorced, White, All other, Male, Full-time schedules, Single, Householder, Householder,6, Native- Born in the United States,52
18, Private,13,36, High school graduate, Never married, White, All other, Male, Children or Armed Forces, Single, Nonfamily householder, Householder,4, Native- Born in the United States,52
53, Private,43,9, Masters degree(MA MS MEng MEd MSW MBA), Married-civilian spouse present, White, All other, Male, Full-time schedules, Joint both under 65, Spouse of householder, Spouse of householder,4, Native- Born in the United States,52
31, Private,33,38, 11th grade, Never married, Black, All other, Male, Children or Armed Forces, Single, Secondary individual, Nonrelative of householder,1, Native- Born in the United States,52
41, Self-employed-not incorporated,2,43, Some college but no degree, Married-civilian spouse present, White, All other, Male, Children or Armed Forces, Joint both under 65, Householder, Householder,1, Native- Born in the United States,52
58, Local government,43,10, Bachelors degree(BA AB BS), Married-civilian spouse present, White, All other, Female, Children or Armed Forces, Joint both under 65, Householder, Householder,6, Native- Born in the United States,52
41, Private,29,26, High school graduate, Never married, White, All other, Male, Children or Armed Forces, Single, Child 18+ never marr Not in a subfamily, Child 18 or older,6, Native- Born in the United States,52
20, Private,34,34, Some college but no degree, Never married, White, All other, Male, Children or Armed Forces, Nonfiler, Child 18+ never marr Not in a subfamily, Child 18 or older,1, Native- Born in the United States,12
55, Private,36,27, High school graduate, Married-civilian spouse present, White, All other, Female, Children or Armed Forces, Joint both under 65, Spouse of householder, Spouse of householder,2, Foreign born- U S citizen by naturalization,49
54, Local government,43,23, High school graduate, Married-civilian spouse present, White, All other, Female, Children or Armed Forces, Joint both under 65, Spouse of householder, Spouse of householder,4, Native- Born in the United States,44
40, Private,33,22, Bachelors degree(BA AB BS), Married-civilian spouse present, White, All other, Female, Full-time schedules, Joint both under 65, Spouse of householder, Spouse of householder,6, Native- Born in the United States,52
54, Private,33,19, High school graduate, Separated, White, Central or South American, Female, Children or Armed Forces, Single, Other Rel 18+ ever marr not in subfamily, Other relative of householder,6, Foreign born- Not a citizen of U S ,52
27, Private,39,36, High school graduate, Never married, White, Central or South American, Male, Children or Armed Forces, Single, Child 18+ never marr Not in a subfamily, Child 18 or older,3, Foreign born- Not a citizen of U S ,52
37, Local government,43,23, Associates degree-occup /vocational, Married-civilian spouse present, White, All other, Female, Children or Armed Forces, Joint both under 65, Spouse of householder, Spouse of householder,1, Native- Born in the United States,52
28, Private,21,36, High school graduate, Never married, Black, All other, Female, Children or Armed Forces, Head of household, Householder, Householder,6, Native- Born in the United States,42
38, Private,45,4, Bachelors degree(BA AB BS), Married-civilian spouse present, White, All other, Male, Children or Armed Forces, Joint both under 65, Householder, Householder,6, Native- Born in the United States,52
26, Private,16,26, High school graduate, Never married, Other, Mexican-American, Female, Unemployed full-time, Head of household, Householder, Householder,4, Native- Born in the United States,35
32, Private,45,3, Bachelors degree(BA AB BS), Never married, White, All other, Female, Full-time schedules, Single, Nonfamily householder, Householder,2, Native- Born in the United States,52
40, Self-employed-not incorporated,9,2, Bachelors degree(BA AB BS), Married-civilian spouse present, White, All other, Female, Full-time schedules, Joint both under 65, Spouse of householder, Spouse of householder,1, Native- Born in the United States,52
48, Private,41,30, High school graduate, Married-civilian spouse present, White, All other, Female, Children or Armed Forces, Joint both under 65, Spouse of householder, Spouse of householder,5, Native- Born in the United States,40
34, Private,43,9, Masters degree(MA MS MEng MEd MSW MBA), Never married, White, All other, Male, Full-time schedules, Single, Nonfamily householder, Householder,6, Native- Born in the United States,44
28, Private,13,26, Some college but no degree, Divorced, White, All other, Male, Children or Armed Forces, Head of household, Householder, Householder,6, Native- Born in the United States,52
25, Private,31,6, Bachelors degree(BA AB BS), Married-civilian spouse present, White, All other, Male, Children or Armed Forces, Joint both under 65, Householder, Householder,3, Native- Born in the United States,52
60, Local government,47,8, Associates degree-occup /vocational, Divorced, White, All other, Male, Children or Armed Forces, Head of household, Householder, Householder,6, Native- Born in the United States,52
33, Local government,43,38, High school graduate, Divorced, White, All other, Female, Children or Armed Forces, Single, Nonfamily householder, Householder,6, Native- Born in the United States,48
62, Self-employed-not incorporated,4,34, High school graduate, Separated, White, All other, Male, Full-time schedules, Single, Other Rel 18+ ever marr not in subfamily, Other relative of householder,1, Native- Born in the United States,52
31, Private,4,3, High school graduate, Married-civilian spouse present, White, All other, Male, Full-time schedules, Joint both under 65, Householder, Householder,1, Native- Born in the United States,52
